No,ID Transaksi,Tgl Operasional,Waktu Masuk,Waktu Selesai,Ruangan,Durasi (Menit),Tarif Room/Jam,Biaya Room (Rp),Biaya F&B Riil (Rp),Biaya LC (Rp),Diskon Promo (Rp),Grand Total (Rp),Metode Bayar,Status Bayar,Kasir,ID Order F&B,Catatan Audit
11,TRX-20260811233033783-7E3357D6,2026-08-11,2026-08-11 23:29:23,2026-08-11 23:30:33,F&B Umum - VIP 3 pindah ke VIP 5,0,0,0,60000,0,0,60000,TRANSFER,PAID,Admin 1,FNB-20260811-232928-743,
12,TRX-20260811230207308-CAF4BC92,2026-08-11,2026-08-11 21:18:21,2026-08-11 23:01:59,Ruangan 3 - VIP 3,120,125000,250000,1020000,375000,0,1645000,,UNPAID,Admin 1,"FNB-20260811-212126-293,FNB-20260811-212531-944,FNB-20260811-225601-611",
13,TRX-20260811224806873-3BAE716C,2026-08-11,2026-08-11 21:03:55,2026-08-11 22:48:02,Ruangan 1 - VIP 1,120,125000,250000,451000,1125000,0,1826000,,UNPAID,Admin 1,FNB-20260811-211024-177,
14,TRX-20260811185630452-ED8810BA,2026-08-11,2026-08-11 18:55:34,2026-08-11 18:56:30,F&B Umum - Lounge,0,0,0,160000,0,0,160000,TRANSFER,PAID,Admin 1,FNB-20260811-185539-250,
15,TRX-20260811034413298-16FD49DA,2026-08-10,2026-08-11 01:50:13,2026-08-11 03:44:07,Ruangan 2 - VIP 2,120,135000,270000,348000,1625000,0,2243000,CASH,PAID,Admin 1,"FNB-20260811-015820-297,FNB-20260811-024830-867",
16,TRX-20260811032532661-E62CF24B,2026-08-10,2026-08-11 01:48:58,2026-08-11 03:25:26,Ruangan 3 - VIP 3,120,125000,1000000,73000,250000,0,1323000,TRANSFER,PAID,Admin 1,"FNB-20260811-015101-765,FNB-20260811-015329-848",
17,TRX-20260811032207770-1CC4C63E,2026-08-10,2026-08-11 01:33:10,2026-08-11 03:22:03,Ruangan 4 - VIP 4,120,135000,270000,650000,750000,0,1670000,TRANSFER,PAID,Admin 1,"FNB-20260811-014258-403,FNB-20260811-024357-959,FNB-20260811-025359-649",
18,TRX-20260811031004496-8B5484A0,2026-08-10,2026-08-11 01:22:47,2026-08-11 03:10:01,Ruangan 1 - VIP 1,120,125000,250000,190000,375000,0,815000,TRANSFER,PAID,Admin 1,"FNB-20260811-013403-854,FNB-20260811-013945-153",
19,TRX-20260811022515455-F760A417,2026-08-10,2026-08-10 23:47:08,2026-08-11 02:25:09,Ruangan 5 - VIP 5,240,135000,0,185000,1500000,540000,1685000,TRANSFER,PAID,Admin 1,"FNB-20260810-234759-106,FNB-20260811-001236-933,FNB-20260811-001338-610",
20,TRX-20260811020846620-15950B52,2026-08-10,2026-08-11 01:32:02,2026-08-11 02:08:42,Ruangan 7 - VIP 7,60,125000,125000,0,500000,0,625000,TRANSFER,PAID,Admin 1,,
21,TRX-20260811012748228-A90E661B,2026-08-10,2026-08-10 23:39:28,2026-08-11 01:27:41,Ruangan 7 - VIP 7,120,125000,1200000,635000,1000000,0,2835000,TRANSFER,PAID,Admin 1,"FNB-20260810-235351-196,FNB-20260811-002056-628,FNB-20260811-002204-668,FNB-20260811-002534-678,FNB-20260811-002831-123,FNB-20260811-010624-883",
22,TRX-20260811010818674-075BF4F0,2026-08-10,2026-08-10 23:12:34,2026-08-11 01:08:15,Ruangan 9 - EXECUTIVE ,120,185000,370000,181000,750000,0,1301000,TRANSFER,PAID,Admin 1,"FNB-20260811-001803-908,FNB-20260811-004524-966,FNB-20260811-005740-673",
23,TRX-20260810225749187-84CE5B2A,2026-08-10,2026-08-10 22:12:02,2026-08-10 22:57:43,Ruangan 9 - EXECUTIVE ,60,185000,185000,8000,250000,0,443000,TRANSFER,PAID,Admin 1,FNB-20260810-223512-427,
